point,lat,lon,tipo
AN016,-16.150363306,-48.899194278,TERMINAL
AN017,-16.194863889,-49.144233333,TERMINAL
ANAME,-8.904944444,-64.548944444,ICAO
ANBAM,-23.524422222,-46.446158333,ICAO
ANBAV,-25.386666667,-54.5965,ICAO
ANBEX,-9.018802778,-35.744891667,ICAO
ANBIR,-17.168333333,-46.820277778,ICAO
ANBIV,-29.716375,-51.379983333,ICAO
ANBIX,2.185166667,-60.62316667,ICAO
ANBOM,-19.669375,-43.380008333,ICAO
ANBOT,-25.299380556,-51.530047222,ICAO
ANBUM,-9.327436111,-40.372958333,ICAO
ANBUP,-9.016508333,-63.650258333,ICAO
ANBUR,-23.220155556,-48.305466667,ICAO
ANDAM,-25.811025,-48.665761111,ICAO
ANDEB,-26.723283333,-47.131611111,ICAO
ANDEM,-20.112594444,-45.385383333,ICAO
ANDIG,-10.151819444,-36.545027778,ICAO
ANDIV,-1.320733333,-48.421969444,TERMINAL
ANDOD,-19.779132791,-39.779641488,ICAO
ANDOG,-10.124502778,-48.444086111,ICAO
ANDOX,-7.859333333,-35.011333333,ICAO
ANDUB,-10.697077778,-65.306641667,ICAO
ANDUT,-27.848794444,-48.429038889,ICAO
ANGAM,-13.757608333,-45.502836111,ICAO
ANGAS,-16.5235,-55.858,ICAO
ANGEK,-23.300311111,-51.991219444,ICAO
ANGIK,-20.108972222,-40.188833333,ICAO
ANGIM,-3.5026,-48.123030556,ICAO
ANGIP,-22.582683333,-50.248666667,ICAO
ANGOG,-25.714897222,-49.356927778,ICAO
ANGOV,-13.664158333,-58.281883333,ICAO
ANGUB,-3.451258333,-49.568080556,ICAO
ANGUG,-20.115911111,-40.195277778,ICAO
ANISE,-24.60216667,-46.62533333,ICAO
ANKAG,-26.955363889,-49.864252778,ICAO
ANKAT,-12.932,-38.418766667,ICAO
ANKIS,-26.289516667,-48.707416667,ICAO
ANKOL,-14.627,-41.260166667,ICAO
ANKUK,-3.209166667,-62.290333333,ICAO
ANLAK,-7.8711,-44.1826,ICAO
ANLAT,-22.005044444,-55.432444444,ICAO
ANLED,-15.419005556,-56.197197222,ICAO
ANLER,-28.694280556,-49.85695,ICAO
ANLET,-9.725588889,-37.020041667,ICAO
ANLIV,-25.408625,-49.318052778,ICAO
ANLOL,2.874666667,-60.634666667,ICAO
ANLUK,0.667854418,-69.678481449,ICAO
ANLUL,-22.790433333,-47.8965,ICAO
ANPAG,-5.630069444,-38.502383333,ICAO
ANPAX,-15.584269444,-47.718194444,ICAO
ANPEK,-19.49675,-43.210241667,ICAO
ANPEX,-23.396280556,-40.541844444,ICAO
ANPIB,-23.190863889,-49.162908333,ICAO
ANPIR,-5.832666667,-16.7335,ICAO
ANPON,-4.7035,-43.3865,ICAO
ANPUM,-10.908211111,-48.634755556,ICAO
ANPUP,-23.10055,-45.595733333,TERMINAL
ANRAG,-0.979152778,-65.499744444,ICAO
ANRAN,-23.1606,-45.935991667,ICAO
ANREL,-25.4475,-44.384783333,ICAO
ANRET,-16.18258925,-54.310592611,ICAO
ANRIB,-5.62,-60.725833333,ICAO
ANRID,-18.57883333,-48.36633333,ICAO
ANRIR,-14.991562209,-57.556378584,ICAO
ANROP,2.80535,-60.755988889,ICAO
ANRUS,-4.951747222,-54.085761111,ICAO
ANSAG,-10.875658333,-65.263055556,ICAO
ANSEB,2.660025,-60.745727778,ICAO
ANSEM,-18.683230556,-43.227805556,ICAO
ANSEN,-20.458616667,-53.961447222,ICAO
ANSOK,-22.393852778,-49.161327778,ICAO
ANSUD,-3.179666667,-60.121666667,ICAO
APINO,-14.96183333,-45.20783333,ICAO
APURU,-1.0925,-50.871,ICAO
AQ002,-21.583854139,-48.164593194,TERMINAL
AQ003,-21.576850278,-48.287462889,TERMINAL
AQ004,-21.662414639,-48.231378889,TERMINAL
AQ006,-21.733703139,-48.184591694,TERMINAL
AQ007,-21.774188833,-48.157996028,TERMINAL
AQ008,-21.650004583,-47.98756,TERMINAL
AQ009,-21.859965528,-48.35379925,TERMINAL
AQ012,-22.040008333,-48.101666667,TERMINAL
AQ013,-22.046863889,-47.978402778,TERMINAL
AQ016,-21.849675,-48.108361111,TERMINAL
AQ017,-21.890147222,-48.081722222,TERMINAL
AQ018,-21.961391667,-48.034786111,TERMINAL
AQ019,-21.645113889,-48.132627778,TERMINAL
AQ021,-22.217763889,-47.978402778,TERMINAL
AR002,-10.814047222,-37.142336111,TERMINAL
AR003,-10.982475,-37.115913889,TERMINAL
AR004,-12.022797222,-38.4514,TERMINAL
AR009,-10.982797222,-37.060244444,TERMINAL
AR012,-10.984766667,-37.021475,TERMINAL
AR361,-10.882361111,-37.281277778,TERMINAL
AR362,-10.974416667,-37.351416667,TERMINAL
AR363,-11.071055556,-37.287888889,TERMINAL
AR364,-10.977888889,-37.249805556,TERMINAL
AR366,-10.980777778,-37.165138889,TERMINAL
AR367,-10.990138889,-36.890944444,TERMINAL
AR368,-11.085666667,-36.8595,TERMINAL
AR369,-10.897,-36.852916667,TERMINAL
AR371,-10.98725,-36.975638889,TERMINAL
ARE01,-22.170286111,-49.068488889,TERMINAL
ARE02,-22.153225,-49.076188889,TERMINAL
ARINO,-20.608088889,-54.807319444,ICAO
ARMIM,-26.5472,-49.336713889,ICAO
ARMIP,-23.050777695,-47.573551164,ICAO
ARMIR,-4.555908333,-39.169391667,ICAO
ARMUK,-13.521807667,-61.536761583,ICAO
ARNAM,4.733333333,-49.634166667,ICAO
ARNED,-26.255497222,-48.576619444,ICAO
ARNID,-2.659463889,-44.285408333,ICAO
ARNIG,-0.215102778,-67.043233333,ICAO
ARNIL,-24.832972222,-52.681130556,ICAO
ARNIV,-23.067508333,-47.050513889,ICAO
ARNOX,-13.284463889,-39.748516667,ICAO
ARNUB,-6.260669444,-69.200502778,ICAO
ARNUT,-4.133333333,-32.814333333,ICAO
AROLO,-12.6256,-37.677625,ICAO
AROMI,-6.235744444,-57.770525,ICAO
AROPI,-6.311333333,-60.888,ICAO
AROVA,-21.223719444,-44.658094444,ICAO
