icao,name,longitude,latitude,elevation
SDCP,Hotel Sant`anna Heliport,-46.747041,-22.736913,2598
SDCQ,Mediterâneo Heliport,-46.853074,-23.593211,2648
SDCR,Fazenda Caiçara Airport,-46.827228,-24.068469,39
SDCS,Veracel Heliport,-39.413109,-16.092557,476
SDCT,Fazenda Santo Antonio do Oriçanga Airport,-46.969278,-22.232574,2237
SDCU,Brigadeiro Francisco Pinto de Moura Airport,-42.114451,-22.557248,20
SDCV,Citibank Helipad,-46.65348,-23.564956,3005
SDCW,Fazenda Paloma Airport,-48.833504,-20.321423,1709
SDCY,Camargo Corrêa Heliport,-46.687818,-23.591726,2835
SDCZ,Fazenda Bom Jardim Airport,-44.091702,-22.935009,13
SDDB,Paradiso Agropecuária Airport,-50.09019,-22.617649,1703
SDDD,Fazenda São Francisco Airport,-55.78457,-17.8615,433
SDDE,Fazenda Dois Irmãos Airport,-61.777196000000004,-8.012773,344
SDDG,Hospital Samaritano Heliport,-46.662451,-23.538711,2966
SDDH,Birmann 29 Heliport,-46.681144,-23.588865,2614
SDDI,Fazenda Tamara Airport,-50.833044,-21.59237,1306
SDDJ,Fazenda Santa Maria Airport,-50.083376,-20.849434,1506
SDDK,Saint-Exupéry Airport,-49.985884,-22.481225,1886
SDDN,Andradina Airport,-51.382252,-20.925031,1247
SDDO,Cândido Mendes Helipad,-43.175278,-22.904167,460
SDDQ,Fazenda São Francisco Airport,-45.51127,-11.69435,2480
SDDR,Dracena Airport,-51.606899,-21.460501,1220
SDDT,Imbetiba Heliport,-41.770653,-22.388895,18
SDDV,Usina Catanduva Airport,-48.845197,-21.12886,1860
SDDX,Fazenda Paiquerê Airport,-50.504632,-19.884363,1411
SDDY,Cesari Heliport,-46.367939,-23.823639,246
SDDZ,Vila São Paulo/Mercosul Heliport,-51.332634,-22.696708,1217
SDEA,Edifício HSBC Tower Heliport,-46.6842,-23.583497,2619
SDED,Scoda Aeronáutica Airport,-47.700402,-22.440516,2008
SDEH,Fazenda Santo Antônio Heliport,-47.32624,-22.379294,2047
SDEI,Canopus Corporate Alphaville Heliport,-46.844784,-23.503812,2844
SDEJ,Fazenda Guará do Pinhal Airport,-48.072935,-23.666115,2036
SDEK,Barra do Una Heliport,-45.747076,-23.73622,43
SDEL,Condomínio Spázio Central JK Heliport,-46.685693,-23.591092,2684
SDEM,Estância Machado Airport,-51.454858,-22.104056,1388
SDEN,Costa Esmeralda Airport,-48.6218,-27.1665,20
SDEO,Fazenda Entre Rios Airport,-48.659401,-21.878599,1709
SDEP,Geraldo Moacir Bordon State Airport,-52.143281,-21.774665,974
SDEQ,Vigor Helipad,-46.604063,-23.533139,2434
SDER,Fazenda Entre Rios Airport,-50.856979,-20.764496,1214
SDES,Estância Colorado Airport,-47.862237,-20.761969,2372
SDET,Tietê Airport,-47.723814,-23.105033,1644
SDEU,Empresarial Anhanguera Heliport,-46.832152,-23.384807,2658
SDEW,Júlio Simões – Garagem Heliport,-46.229307,-23.541878,2461
SDEX,Fazenda Nossa Senhora do Carmo Airstrip,-45.824347,-12.58051,2543
SDEY,Imigrantes Heliport,-46.605768,-23.689267,2554
SDEZ,Unibanco Eusébio Matoso Helipad,-46.698579,-23.572336,2680
SDFC,Fazenda Constância Airport,-49.188638,-20.489442,1970
SDFD,Fernandópolis - Coronel Aviador Carlos Orleans Guimarães Airport,-50.214937,-20.276901,1640
SDFH,Fazenda Amália Airport,-47.370899,-21.444259,2318
SDFJ,Fazenda Murungaba Heliport,-47.76002,-22.95156,1261
SDFK,Fazenda Figueira Airport,-52.151064,-22.067804,1234
SDFL,Fazenda Santa Albana Airport,-48.282217,-23.580552,2051
SDFN,Fazenda São Francisco Airport,-49.546308,-23.474781,1703
SDFO,Centro Gráfico - Folha Heliport,-46.860616,-23.46628,2536
SDFP,Folha de São Paulo Heliport,-46.645781,-23.537527,2612
SDFQ,Centro Empresarial Botafogo Heliport,-43.182621,-22.94429,187
SDFR,Riomar Fortaleza Heliport,-38.473485,-3.74122,299
SDFS,Fazenda Santa Gertrudes Heliport,-48.347511,-22.092275,2080
SDFT,Virgulino de Oliveira Airport,-46.808977,-22.415132,2152
SDFU,Fazenda Ponte Funda Airport,-52.164249,-21.871309,968
SDFV,Federação Paulista de Futevol Helipad,-46.667286,-23.522185,2477
SDFW,Condomínio Edifício San Paolo Helipad,-46.687835,-23.574909,2707
SDFX,Casa Nova Airport,-40.937445,-9.157435,1329
SDGA,Acapulco Heliport,-46.201794,-23.954475,36
SDGB,Usina Colorado Airport,-48.182671,-20.27688,1988
SDGC,Garça Airport,-49.656346,-22.181484,2178
SDGD,Eucatex Heliport,-48.567696,-22.994239,2657
SDGE,Casas Bahia Heliport,-46.570678,-23.611062,2569
SDGG,Aché Faria Lima Helipad,-46.694428,-23.561123,2802
SDGH,Parque do Peão Mussa Calil Neto Heliport,-48.592696,-20.511044,1808
SDGI,Fazenda Guariroba Heliport,-46.907469,-22.923262,2297
SDGJ,Fazenda Suíssa Airport,-49.856334,-21.907652,1795
SDGK,Fazenda Gurucaia Airport,-50.736034,-21.494996,1339
SDGL,Catedral Mundial da Fé Helipad,-43.274842,-22.880842,148
